,fLength,fWidth,fConc1,fM3Long,fAlpha,fDist,class
63,20.8102,12.1864,0.2616,-8.6124,5.8095,187.384,0
64,41.2574,26.6586,0.1002,32.32,15.4434,93.7199,0
65,45.4692,28.2858,0.0946,-12.0953,7.3989,83.3164,1
66,114.5547,80.0698,0.0631,94.7292,0.2862,276.2978,1
67,80.3573,46.7521,0.0395,92.2686,72.1289,122.6955,1
68,194.2284,92.2648,0.0281,-179.4198,45.7527,295.2372,1
69,22.7184,8.7598,0.3842,-18.7684,6.1543,174.7,0
70,12.6909,11.6998,0.3839,8.7551,56.8101,155.297,0
71,16.1931,11.1654,0.3855,-6.9421,56.5349,168.497,0
72,80.0032,21.2266,0.1022,64.7447,9.041,303.467,0
73,65.7635,19.7758,0.2126,46.0977,47.095,102.318,1
74,19.7259,17.0208,0.2843,-12.3171,7.3544,187.628,0
75,25.6723,11.1212,0.3263,-21.3006,2.303,144.529,0
76,29.7832,22.1604,0.1563,-8.7597,33.7068,158.8411,1
77,88.0016,41.5354,0.0602,85.6667,26.8401,179.895,0
78,28.4899,1.6230000000000002,0.4732,20.1165,26.6149,194.6653,1
79,49.3308,19.4102,0.1314,31.7972,1.5672,195.495,0
80,18.8542,9.0044,0.484,13.3154,37.1081,181.296,0
81,49.9108,18.041,0.1564,41.3432,21.104,252.329,0
82,16.1915,1.2858,0.3241,11.1344,43.7638,235.5025,1
83,81.92399999999999,24.0344,0.1823,67.9563,4.2963,200.021,0
84,84.1042,23.3751,0.1559,47.1038,4.8025,352.5014,1
85,68.1129,28.1608,0.2289,-46.5571,36.0399,275.663,1
86,31.022,18.0006,0.2757,25.9397,76.8234,188.3716,1
87,27.0596,15.8193,0.2884,13.371,37.992,114.849,0
88,23.5333,15.0319,0.2927,20.3183,16.392,183.989,1
89,13.0087,10.6477,0.4931,2.7445,18.8501,66.5816,0
90,21.833,12.845999999999998,0.3848,17.2369,19.3319,40.1037,0
91,93.6809,73.2173,0.0355,90.6286,4.961,139.803,0
92,12.925999999999998,11.3551,0.3812,4.5285,60.0829,193.697,1
93,23.3107,18.2154,0.1867,2.0355,2.761,67.2404,0
94,74.4723,16.3375,0.2777,-83.8889,84.6412,120.3313,1
95,39.5326,10.7886,0.2743,-18.8,9.0374,181.501,0
96,22.7955,10.6579,0.4003,20.5625,42.293,210.976,0
97,12.952,11.2497,0.4142,6.6654,42.6363,183.213,0
98,84.6887,63.0898,0.0506,75.8326,44.209,224.205,1
99,30.7731,11.1271,0.2368,25.1084,30.1263,135.757,1
100,33.5344,17.8185,0.1938,26.712,85.7651,140.1944,1
101,14.2327,13.5176,0.2702,-0.1953,50.1706,163.8506,1
102,112.388,54.2316,0.1186,50.6508,10.8136,291.2586,1
103,35.0517,12.7947,0.3134,-10.8897,40.8358,213.9211,1
104,30.1632,22.9526,0.1748,11.598,87.2246,63.4176,0
105,37.9583,16.002,0.1939,24.4434,14.86,230.16,0
106,37.2895,21.5961,0.1729,9.1394,3.2352,145.565,0
107,36.045,17.1907,0.1953,27.4065,60.1685,217.647,1
108,53.4514,39.2208,0.0979,-54.8529,28.6929,159.4686,1
109,25.5431,7.6108,0.3196,-8.0852,35.4068,73.9748,1
110,28.1606,20.2805,0.2119,18.2669,1.0892,167.862,0
111,81.0863,18.6924,0.2132,78.0873,33.6786,330.05300000000005,1
112,39.6595,22.153,0.1292,23.1097,6.372000000000001,239.169,0
113,153.344,40.1891,0.1504,-84.68,2.1684,199.65,1
114,31.0653,17.5793,0.1837,-26.0578,58.3585,200.181,0
115,28.0556,10.0426,0.3069,-22.0884,6.912000000000001,179.05,0
116,33.6832,15.2972,0.1939999999999999,27.3937,1.5730000000000002,151.441,0
117,86.8639,21.8827,0.2672,30.8593,2.0243,257.121,0
118,89.6414,24.2344,0.1681,-95.2879,10.52,71.5688,0
119,105.8399,43.4692,0.0511,126.2927,16.3486,132.5441,1
120,242.091,105.708,0.0175,-180.16,67.9337,243.077,1
121,180.7054,99.6185,0.0191,-124.8521,68.8813,303.1109,1
122,131.0348,85.2287,0.0215,103.3835,88.7998,317.071,1
123,13.5634,10.0317,0.4127,-2.7401,33.723,197.661,1
124,144.6026,76.9853,0.1189,121.749,39.6929,205.3179,1
125,37.0979,8.0876,0.2585,25.3223,1.472,169.17700000000002,0
126,18.9455,9.996,0.3549,11.8739,47.57,224.052,0
127,17.4934,7.4535,0.5457,-1.162,15.087,159.278,1
128,33.8773,14.58,0.2141,24.106,17.282,208.599,0
129,13.0916,10.5668,0.4872,-4.3567,51.288,216.562,0
130,258.7196,188.8866,0.0535,42.4851,75.4253,135.2064,1
131,52.5845,11.4244,0.1933,-25.4734,83.6585,237.024,1
132,27.0715,14.5224,0.2731,18.5975,12.5387,185.4123,1
133,20.7262,12.8883,0.2567,-9.4132,14.549,190.537,0
134,84.0748,26.5362,0.0595,64.82600000000001,35.5998,183.4185,1
135,24.1699,18.731,0.2157,6.7161,5.1352,193.7732,1
136,36.4676,17.3779,0.1885,-26.6732,46.7456,196.1418,1
137,180.1338,84.4265,0.0333,-161.9227,76.8384,223.097,1
138,23.8371,13.8984,0.258,8.8619,53.595,178.355,1
139,117.58,62.1755,0.0308,116.825,9.964,169.88,0
140,49.871,22.3306,0.0934,-20.3188,8.326,220.734,0
141,26.4554,16.9124,0.1741,-10.4256,88.1553,99.3337,0
142,55.0826,20.1824,0.102,42.2168,3.919,227.332,0
143,64.2085,33.2754,0.0794,31.0346,13.8747,183.081,0
144,43.5269,13.9408,0.2295,41.3843,3.9958,164.793,0
145,21.1109,11.5522,0.3571,-19.9271,68.7418,61.5813,1
146,49.8798,38.312,0.0874,-28.9663,56.821000000000005,234.3,1
147,33.1849,11.7922,0.299,29.5911,4.632,151.756,0
148,23.4942,10.9288,0.3464,-21.919,82.964,41.1838,1
149,77.22800000000001,30.2298,0.0769,55.6943,0.386,254.872,0
150,24.7542,15.3671,0.2666,-15.3471,26.265,202.563,0
151,120.631,70.7331,0.0478,-120.188,48.8321,71.1156,1
152,56.2016,45.1354,0.1475,39.609,45.1622,246.6297,1
153,143.5247,37.6482,0.1372,115.4094,4.428999999999999,190.7188,1
154,23.6252,13.6622,0.3383,14.2182,79.2617,238.9139,1
155,101.165,27.0771,0.1126,-41.0916,1.0165,355.033,0
156,67.0744,20.1901,0.3572,-61.3223,12.4831,290.1345,1
157,31.1619,12.4768,0.2079,13.476,27.917,204.543,1
158,55.5017,28.7067,0.131,31.4793,0.936,313.47700000000003,0
159,19.7247,12.8248,0.2985,6.771,17.9567,220.061,0
160,28.7928,14.4369,0.2344,-20.6637,86.9663,26.9984,0
161,128.627,21.6801,0.1335,128.975,3.1073,221.05,1
162,56.6568,17.5866,0.1833,43.7768,4.2330000000000005,281.16200000000003,0
163,75.3249,31.1934,0.1132,-78.225,29.81,246.753,0
164,107.5882,53.3276,0.1509,-56.8794,50.1435,285.113,1
165,107.2769,56.6684,0.0819999999999999,90.6892,48.5291,308.2689,1
166,38.8166,14.9294,0.2795,31.8315,27.0738,156.033,1
167,92.9886,43.8052,0.1085,-63.9611,78.548,172.733,1
168,72.9599,30.7461,0.0765,59.2303,4.988,258.822,0
169,22.7103,17.5142,0.2,9.9208,78.773,140.18200000000002,0
170,53.1582,16.1254,0.1262,-39.7663,16.39,178.782,0
171,47.1009,23.5645,0.1309,22.1658,1.477,155.445,0
172,64.4135,19.3063,0.1375,71.3995,88.5315,68.0154,1
173,30.1141,11.4561,0.3411,44.0529,56.1464,254.5616,1
174,47.7946,20.001,0.0985,-30.4123,3.1846,197.918,0
175,39.6908,7.4277,0.2428,42.8343,0.9875,135.536,1
176,34.3515,17.7977,0.2183,27.3734,0.4904,159.66,0
177,33.6678,18.4041,0.1644,-18.2515,46.0907,174.362,1
178,27.8634,9.4193,0.278,21.3019,10.3051,229.915,0
179,15.1849,12.0951,0.3353,3.6559,49.197,197.166,0
180,58.4239,27.5702,0.1296,-52.1259,88.223,141.6031,1
181,35.5935,25.3124,0.1446,31.0518,10.241,132.90200000000002,0
182,83.1099,38.2191,0.1089,-40.7731,1.9969,366.082,0
183,81.6199,18.4244,0.1316,90.2055,1.821,217.098,0
184,41.9175,14.8591,0.1944,33.3481,9.541,172.52900000000002,0
185,94.0219,48.0452,0.0602,87.6518,21.1214,267.5615,1
186,36.6834,23.4707,0.1598,32.8215,66.6917,148.279,1
187,34.4815,20.0701,0.1213,19.4901,18.7586,160.018,0
188,45.7526,17.9873,0.1458,-8.2795,1.1401,156.4013,1
189,182.1544,35.9937,0.2431,-193.0007,24.73,336.8741,1
190,37.1784,20.2962,0.1931,36.1904,34.5112,257.3683,1
191,95.3862,43.1623,0.0478,87.8497,4.0819,291.29900000000004,0
192,54.6986,27.7552,0.1173,31.1115,23.358,278.165,0
193,157.684,74.3316,0.0915,-138.151,49.2403,391.029,1
194,83.0942,27.4695,0.0877,87.1243,1.763,211.57,0
195,61.8236,24.113000000000003,0.1545,33.6217,5.6814,278.24,0
196,20.6487,11.5458,0.4204,17.6078,87.3569,233.5546,1
197,158.4158,24.8759,0.1819,-113.2999,54.9384,203.3284,1
198,26.611,14.1842,0.2715,20.5257,29.5051,135.119,0
199,19.4158,7.4291,0.4393,-7.3542,80.829,205.232,0
200,30.2128,22.8856,0.212,25.8419,39.7337,83.5209,1
201,98.8696,26.9624,0.177,46.837,0.812,347.069,0
202,23.1468,11.1021,0.2311,13.5006,56.3508,99.6463,1
203,67.3731,29.9996,0.0886,-47.1058,50.191,155.438,1
204,92.3826,43.6424,0.1193,64.8439,47.6989,335.9619,1
205,36.9048,16.4389,0.179,34.0336,1.8977,148.19799999999998,0
206,97.9047,42.34,0.0599,99.2544,8.181000000000001,238.303,0
207,43.5004,21.3132,0.1291,33.0916,18.5411,166.93599999999998,0
208,72.6737,7.5386,0.1267,-24.5477,62.8116,205.9366,1
209,20.4776,12.9345,0.2532,-7.0063,16.162,110.983,0
210,27.0762,19.3349,0.149,11.9309,10.25,165.614,0
211,23.6547,17.5581,0.2138,-17.6837,73.7828,140.1876,1
212,85.6095,32.714,0.0856,38.2362,6.809,267.29400000000004,0
213,107.1313,44.7646,0.0796,-32.2597,55.4419,148.8936,1
214,16.3371,11.6489,0.3131,4.6868,69.7431,224.031,0
215,122.811,62.1895,0.1426,-85.8585,25.743,134.534,1
216,58.4195,18.7126,0.14,53.4838,3.8408,250.466,0
217,25.0275,12.8142,0.3078,-8.9993,65.2451,72.7386,0
218,48.4816,8.4573,0.2021,26.9926,0.7494,204.643,0
219,16.6403,5.7734,0.4309,23.7453,4.4329,94.8949,1
220,43.03,19.1207,0.2121,32.873000000000005,4.3534,214.71400000000003,0
221,30.2961,11.6071,0.2421,23.0618,23.3886,195.078,1
222,171.894,70.2817,0.063,-159.374,33.3319,257.985,1
223,49.2968,32.0297,0.184,31.3691,33.8486,230.3021,1
224,18.6623,16.6923,0.4441,11.9869,20.0382,198.3459,1
225,29.9448,10.7167,0.3223,-7.77,79.77199999999999,185.495,1
226,143.47,54.3127,0.0453,-40.2249,2.037,282.608,1
227,55.3259,10.7461,0.1681,16.3418,71.62899999999999,142.504,1
228,36.8597,13.989,0.247,18.6898,74.455,219.649,1
229,46.1856,20.0613,0.1248,40.0579,13.438,233.109,0
230,59.7398,13.2616,0.2087,65.1432,6.22,248.268,1
231,52.0784,40.8296,0.0634,38.9315,5.8020000000000005,140.33,0
232,101.236,18.7607,0.1414,-70.376,81.3618,154.153,1
233,65.0483,33.8061,0.1398,42.9006,54.1282,146.618,1
234,81.0884,22.4182,0.1265,88.1513,3.357,275.778,0
235,116.4181,40.0715,0.0442,76.9285,45.3222,104.9433,1
236,126.097,52.5459,0.1069,95.5463,61.3952,314.245,1
237,20.4322,18.0502,0.2736,11.7714,89.0757,180.229,0
238,93.2473,27.8615,0.1279,51.7111,10.055,316.7016,1
239,24.4481,10.0887,0.3495,11.5541,73.0773,117.5153,1
240,81.5093,22.6787,0.1823,-22.4769,4.376,335.89,0
241,131.91299999999998,40.049,0.0867,-62.3433,31.124,276.301,1
242,116.9997,88.1903,0.1225,-56.32899999999999,12.6866,279.8138,1
243,142.6733,50.4449,0.0704,-121.6169,48.9907,290.7578,1
244,24.7731,21.3805,0.2492,-26.4838,53.7318,90.5866,1
245,22.0591,0.0969,0.3943,-6.2334,15.507,118.7977,1
246,22.1614,15.3687,0.1358,-10.3657,13.592,141.7225,1
247,21.9693,10.1512,0.3977,20.192,5.7620000000000005,200.756,0
248,31.5762,20.5726,0.1817,22.8823,0.5489999999999999,145.619,0
249,39.6573,11.0999,0.1649,19.5955,16.72,142.327,0
250,13.002,10.93,0.4613,6.0316,62.424,204.586,0
251,110.206,70.9532,0.0551,-47.7365,35.959,377.899,1
252,99.7739,25.7452,0.1063,85.6814,0.447,289.77,0
253,149.4279,92.2107,0.0197,-148.5828,89.3512,270.7509,1
254,32.0205,17.3002,0.1704,18.6074,5.6933,179.787,0
255,75.2453,41.4855,0.0529,64.9674,11.2356,173.953,0
256,63.3325,26.8284,0.1135,-26.456,60.4225,175.94099999999997,1
257,36.2224,9.3149,0.2696,28.1541,5.066,136.539,1
258,33.2574,15.3579,0.1537,17.3116,52.234,109.506,1
259,79.066,53.9581,0.1506,-72.1199,0.9643,406.997,1
260,24.4351,7.6651,0.3092,7.4472,20.9227,229.4494,1
261,38.0313,12.424,0.2012,-31.941,7.966,224.595,0
262,25.1112,0.0,0.3625,-8.9276,16.042,188.039,1
263,27.8036,11.2593,0.2957,22.3189,13.0353,211.66,1
264,24.1044,10.5084,0.2717,19.2134,0.134,111.337,0
265,19.6892,0.0,0.5692,-3.6483,59.9239,120.092,0
266,55.6113,27.9507,0.1445,45.8123,8.0384,290.016,1
267,35.8248,13.4182,0.1998,17.5123,6.6856,217.976,0
268,19.0848,13.7346,0.3966,19.4696,5.3161,213.71400000000003,1
269,47.8913,10.0342,0.2213,30.2795,53.102,102.927,1
270,22.4846,12.964,0.2507,-8.823,78.7388,167.476,0
271,49.5366,25.5985,0.1146,44.6411,13.989,287.843,1
272,148.322,93.8771,0.0759,-192.496,55.947,299.82,1
273,149.0388,108.5058,0.0499,85.2039,54.3542,222.3967,1
274,19.1141,12.2076,0.3186,10.6297,48.2306,177.912,1
275,13.0105,11.9466,0.3995,10.3197,64.2228,132.0409,1
276,87.5136,11.4218,0.2685,-57.7875,1.683,284.26,0
277,42.395,20.4129,0.1491,32.657,7.9513,206.328,0
278,77.2493,46.1283,0.0512,-39.8901,59.2516,134.392,1
279,71.4412,14.6007,0.1647,70.2992,21.9358,112.144,0
280,31.9212,16.7667,0.2348,21.017,3.045,249.375,0
281,81.5058,23.5413,0.1581,54.3659,8.5332,248.42,0
282,20.8891,10.571,0.3802,14.7551,38.241,197.907,1
283,22.8715,10.1929,0.3092,15.0916,50.757,55.7284,0
284,36.0227,21.2618,0.142,16.2844,7.4337,203.547,0
285,34.0689,7.3637,0.255,8.4436,87.1904,97.4652,1
286,19.9786,9.2008,0.4283,14.4521,78.2768,32.3245,1
287,133.485,43.5293,0.1998,-116.55,13.1124,325.573,1
288,52.0771,21.9372,0.1753,-27.9491,87.7374,147.016,1
289,94.3067,91.1296,0.0255,76.663,49.8113,43.3309,1
290,30.1845,14.0803,0.2262,29.6991,53.8928,112.369,0
291,191.9532,74.8707,0.0712,36.727,51.4866,295.7634,1
292,123.5097,71.642,0.0325,78.0804,35.1456,286.9649,1
293,32.2155,11.5934,0.2201,20.5685,42.6677,219.8024,1
294,247.8475,69.0481,0.1403,-217.1795,14.2665,113.8216,1
295,60.4423,12.5589,0.2823,43.8339,26.708,172.97400000000002,1
296,49.6571,16.8233,0.1467,29.1891,9.1405,155.975,0
297,73.8934,40.0651,0.0788,58.6358,3.9424,255.277,0
298,71.0185,17.7497,0.1298,75.4977,1.003,239.627,0
299,16.6775,11.4413,0.305,-6.7611,61.153,221.504,1
300,41.7981,19.6858,0.1515,-31.5654,3.627,195.093,0
301,42.0944,11.5611,0.1817,14.6892,67.577,89.4111,1
302,41.2629,20.9786,0.1626,43.3331,7.6147,219.077,0
303,31.8569,19.6392,0.1474,-15.3786,11.217,260.496,0
304,19.7433,9.5927,0.3529,-11.4562,48.273,121.234,1
305,38.6408,16.3194,0.1493,14.2359,5.6601,170.274,0
306,35.3354,15.4937,0.308,31.7957,27.14,248.0,1
307,40.2853,13.1958,0.1463,35.8315,5.0105,187.4108,1
308,34.566,9.8406,0.2742,24.1787,8.529,206.093,0
309,20.1609,11.2402,0.4672,-21.3665,18.0262,173.90400000000002,0
310,33.7125,17.0818,0.2103,-13.1492,46.5757,105.134,1
311,23.1189,13.9953,0.2445,-20.3149,52.753,115.739,1
312,26.0458,10.0083,0.2349,-28.617,54.1973,106.8037,1
313,138.144,62.2837,0.1201,159.495,60.3232,185.874,1
314,21.6367,10.7785,0.3041,-16.1441,69.7619,119.687,1
315,45.9877,20.5174,0.1653,27.8529,2.967,186.762,0
316,68.6857,21.2554,0.0992,26.0299,22.884,246.883,1
317,74.5077,40.5641,0.0541,-42.5078,57.0629,168.9312,1
318,56.7558,19.1792,0.2249,23.163,8.026,304.471,0
319,21.4698,12.640999999999998,0.3047,-14.9856,4.589,151.69,1
320,13.0783,11.0769,0.3992,4.1004,58.14,227.58900000000003,1
321,31.7448,16.9249,0.1475,-17.9218,13.374,236.918,0
322,255.628,85.8475,0.0892,142.341,66.556,299.144,1
323,26.9801,7.9512,0.2848,16.7434,58.5472,213.0894,1
324,28.2715,16.1011,0.2447,25.1783,40.2475,217.188,1
325,117.5035,25.3739,0.1092,30.0582,23.6392,298.9475,1
326,90.9129,25.4526,0.1067,61.2636,1.116,316.564,0
327,17.762999999999998,7.0232,0.4945,8.3954,67.345,185.682,1
328,30.0188,15.4918,0.2378,9.022,21.0507,128.44,0
329,136.446,88.2878,0.1216,126.766,18.736,317.685,1
330,52.026,18.7414,0.1312,-30.5249,86.2773,175.3454,1
331,12.4051,12.0785,0.3516,-10.5871,7.605,226.686,0
332,102.814,24.6349,0.2163,73.4539,3.458,223.154,0
333,49.2474,20.7543,0.1256,41.5419,8.3432,252.168,0
334,11.224,8.343,0.4605,-13.7668,28.9657,80.4941,1
335,28.239,13.0027,0.3031,11.0485,71.8024,234.391,1
336,13.4506,10.3067,0.4102,3.1478,45.195,151.186,0
337,19.6894,9.572,0.3105,17.567,32.7719,186.1666,1
338,195.4811,89.40299999999999,0.0508,149.797,85.6807,172.0408,1
339,58.3532,31.4458,0.0933,54.3966,2.173,141.671,0
340,53.7339,15.4395,0.2955,-40.3603,1.886,32.6827,0
341,125.278,39.8098,0.1627,136.22299999999998,50.4921,286.965,1
342,29.5501,7.8658,0.4058,23.4294,17.6342,108.786,0
343,99.7911,34.2064,0.0855,95.4397,4.3725,248.705,0
344,41.8772,19.0863,0.1629,-35.0592,54.952,207.601,1
345,12.895,11.2392,0.4377,-8.0421,80.9568,150.922,0
346,21.476,0.0027,0.4866,7.6359,74.132,216.08,1
347,29.6104,13.9381,0.2659,-13.7042,53.624,27.9896,0
348,26.9279,16.4598,0.2252,15.3732,3.3499,256.847,0
349,35.4866,20.2531,0.1439,23.4476,17.16,98.3276,0
350,179.8715,83.9576,0.0613,-174.4185,66.1754,310.5166,1
351,35.7386,20.2441,0.1252,-12.1785,18.4008,210.752,0
352,29.9916,11.2395,0.28,12.8682,4.1274,94.8653,1
353,23.8533,19.6965,0.2185,19.8561,46.859,123.296,0
354,167.688,55.4209,0.1717,-166.19099999999997,46.2067,327.245,1
355,22.1311,9.9695,0.3168,18.1866,34.198,179.343,0
356,46.0537,17.3108,0.1846,-50.5488,54.1985,99.11,1
357,32.7716,22.3119,0.1204,18.6852,27.3093,95.8153,0
358,82.9364,9.0892,0.3117,38.8263,2.376,291.249,0
359,22.6082,13.715,0.3154,20.3446,7.936,146.847,0
360,40.6204,18.9094,0.2207,-27.265,74.173,105.249,1
361,23.555,14.1463,0.2666,-10.3062,77.558,161.566,1
362,54.0843,18.7006,0.372,63.999,41.7125,222.4798,1
363,13.0142,11.2036,0.3875,4.0059,60.4605,167.373,0
364,63.6229,40.9327,0.0636,62.4748,1.0007,144.444,0
365,32.0031,14.8942,0.2425,23.1813,8.6023,184.485,0
366,72.9287,23.3978,0.2471,26.9049,15.5734,57.9291,1
367,124.6817,22.3686,0.3051,54.4102,38.881,306.2776,1
368,12.9417,11.2148,0.4278,-7.1915,73.39699999999999,271.258,1
369,29.9045,15.1933,0.2848,28.622,2.9967,173.984,0
370,40.8396,21.8876,0.125,-13.5911,0.583,202.273,0
371,78.4733,23.9205,0.1661,27.6479,33.0782,297.3374,1
372,39.0348,19.4764,0.1648,6.7564,81.0166,229.4088,1
373,75.7105,12.3756,0.1465,-66.4578,7.051,198.076,0
374,29.2792,15.7488,0.1641,13.0968,10.472,195.898,0
375,36.079,13.2636,0.2317,-17.1724,26.3559,147.636,0
376,67.0205,23.2663,0.2106,-59.1431,72.4499,106.469,1
377,34.9959,19.3991,0.1429,-14.2932,6.89,203.512,0
378,133.8881,114.3125,0.17,-158.8424,84.8106,344.2077,1
379,27.4986,6.9559,0.3343,-14.3059,43.9124,183.667,0
380,16.5794,10.1502,0.2639,11.9279,42.4078,263.5234,1
381,33.6546,11.8162,0.408,-18.6781,82.1892,202.0755,1
382,21.5493,13.4295,0.3178,-8.3443,15.682,238.771,0
383,77.5425,21.7152,0.1597,71.7929,0.075,283.187,0
384,31.3556,14.3849,0.2813,34.1142,4.5864,211.9991,1
385,41.6116,10.1455,0.2022,-28.2571,85.6838,250.143,1
386,115.515,12.7772,0.159,96.5512,6.817,227.681,0
387,37.2785,24.7948,0.1643,-21.2197,16.0577,268.5359,1
388,34.1115,15.4917,0.2261,28.083,9.2366,145.657,0
389,20.5321,15.3265,0.2582,14.7728,44.9,207.691,0
390,66.2446,27.9018,0.155,-51.3645,30.2536,289.524,1
391,12.8285,11.4799,0.3985,7.6855,40.354,152.901,0
392,59.5654,30.2124,0.1876,58.3284,78.0882,229.749,1
393,31.3178,13.5666,0.2565,25.766,77.6778,139.6644,1
394,82.1714,29.0898,0.1178,63.5925,0.1989,293.883,0
395,143.9505,19.3897,0.2812,-142.2481,10.4597,201.2253,1
396,163.15,80.2768,0.0507,-165.247,51.3108,287.807,1
397,102.541,16.3516,0.1176,95.2413,2.7131,291.018,0
398,29.1454,14.6984,0.2582,-25.6863,18.9218,208.133,1
399,23.0076,10.6264,0.3016,18.97,62.1533,168.74,0
400,147.203,82.3047,0.1016,144.953,51.6996,234.683,1
401,22.9433,11.9638,0.3326,15.0813,36.284,254.6969,1
402,17.8425,16.6565,0.2596,-11.5213,41.43600000000001,90.8102,0
403,20.9457,7.0962,0.372,-10.7891,48.809,232.29,0
404,22.1854,17.9779,0.2781,10.3768,85.4955,157.85399999999998,0
405,24.1567,16.1855,0.2211,-12.5315,65.6452,207.0016,1
406,24.6381,12.6487,0.2655,23.1735,76.4614,39.2412,0
407,48.3426,16.9195,0.1132,32.3363,0.386,193.943,0
408,93.1176,56.0304,0.1292,42.5379,12.7497,314.1163,1
409,150.42700000000002,99.6922,0.0386,-142.05700000000002,62.258,332.525,1
410,27.7783,8.95,0.3296,21.0537,8.363,186.828,1
411,28.292,15.9505,0.2691,20.2797,0.26,243.462,0
412,30.865,17.7682,0.1506,18.1083,13.5322,181.907,0
413,37.8939,11.4699,0.2315,18.6992,34.636,149.71200000000002,0
414,51.2164,21.3518,0.2111,31.882,2.325,296.595,0
415,46.7355,10.3728,0.2371,22.3906,76.6779,119.501,1
416,28.6991,19.6079,0.1782,23.5966,21.0958,158.988,0
